[05Sep2025 00:21:53.821] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: natasha has made the advancement [Hot Stuff]
[05Sep2025 00:51:33.210] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: lol[/127.220.248.189:39255] logged in with entity id 80731 at (140.74528168244922, 63.0, 221.03185363778968)
[05Sep2025 00:51:33.219] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol joined the game
[05Sep2025 00:52:16.385] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: lol lost connection: Disconnected
[05Sep2025 00:52:16.385] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol left the game
[05Sep2025 00:52:31.546] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: lol[/127.220.248.189:49625] logged in with entity id 81647 at (142.49086959814616, 63.0, 195.35107451471387)
[05Sep2025 00:52:31.553] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol joined the game
[05Sep2025 00:52:36.683] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol was slain by Zombie
[05Sep2025 00:52:43.177] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <natasha> jajajaj
[05Sep2025 00:53:15.431] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: lol lost connection: Disconnected
[05Sep2025 00:53:15.431] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol left the game
[05Sep2025 00:53:29.745] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: lol[/127.220.248.189:38217] logged in with entity id 82674 at (-9.5, 64.0, 0.5)
[05Sep2025 00:53:29.758] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: lol joined the game
[05Sep2025 01:06:51.790] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=173, y=63, z=242} BlockPos{x=173, y=62, z=242}
[05Sep2025 01:31:48.106] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, -42.19042139872257] -> [56.726247480881156, 88.08747265581918, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:31:53.144] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 0.8435163866678921] -> [108.30703916762722, 101.3263375497561, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:31:58.145] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 61.695741979218695] -> [132.5601117433442, 105.60766826679215, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:03.192] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 121.60691776115263] -> [172.8297619261977, 107.2771229694612, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:08.204] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 168.33776700841233] -> [230.30207899078488, 107.02760253864537, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:13.245] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 206.0748238707301] -> [294.92400909885043, 103.14204735735312, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:18.288] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 222.05443729737578] -> [348.21588894748334, 93.04878664603385, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:23.293] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 226.11045144567925] -> [379.0134044957808, 83.05544039035969, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:32:28.338] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 226.9760737320031] -> [392.8236011583662, 72.52476189356994, 1.2290049650000006E7] returning empty list! this might break things
[05Sep2025 01:41:41.397] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=170, y=65, z=273} BlockPos{x=170, y=64, z=273}
[05Sep2025 01:42:36.751] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Luiss> aJAAJJA
[05Sep2025 01:42:41.897] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Not Secure] <Luiss> NO DIGAS
[05Sep2025 01:43:58.545] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=148, y=65, z=285} BlockPos{x=157, y=63, z=286}
[05Sep2025 01:43:58.546] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=148, y=65, z=285} BlockPos{x=157, y=63, z=286}
[05Sep2025 01:44:15.701] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=149, y=63, z=273} BlockPos{x=149, y=63, z=272}
[05Sep2025 01:47:04.903] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=132, y=63, z=272} BlockPos{x=130, y=63, z=272}
[05Sep2025 01:47:14.200] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=142, y=65, z=278} BlockPos{x=141, y=65, z=277}
[05Sep2025 01:47:14.248] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=142, y=65, z=278} BlockPos{x=141, y=65, z=277}
[05Sep2025 01:47:14.298] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=142, y=65, z=278} BlockPos{x=141, y=65, z=277}
[05Sep2025 01:47:14.347] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=142, y=65, z=278} BlockPos{x=141, y=65, z=277}
[05Sep2025 01:58:04.802] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=154, y=64, z=300} BlockPos{x=156, y=63, z=300}
[05Sep2025 01:58:11.252] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=146, y=63, z=300} BlockPos{x=144, y=63, z=299}
[05Sep2025 01:58:11.350] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=144, y=63, z=299} BlockPos{x=144, y=62, z=300}
[05Sep2025 02:02:33.000] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=177, y=66, z=298} BlockPos{x=183, y=64, z=291}
[05Sep2025 02:06:52.709] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=210, y=63, z=303} BlockPos{x=211, y=62, z=303}
[05Sep2025 02:17:46.894] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=155, y=63, z=306} BlockPos{x=155, y=63, z=305}
